schema,bytes
pcap.packet,625
suricata.anomaly,377.577088
suricata.dcerpc,405.823498
suricata.dhcp,374.861111
suricata.dns,520.394528
suricata.fileinfo,679.733567
suricata.flow,512.465319
suricata.ftp,2088.628676
suricata.http,546.694415
suricata.ikev2,513
suricata.krb5,455.850207
suricata.sip,389.200855
suricata.smb,483.861382
suricata.smtp,663.281481
suricata.snmp,354.048611
suricata.tftp,317.16129
suricata.tls,493.313662
zeek.conn,112.974915
zeek.dce_rpc,115.229968
zeek.dhcp,166.706522
zeek.dns,187.715814
zeek.dpd,168.663254
zeek.files,155.072703
zeek.ftp,96.615385
zeek.http,250.767646
zeek.kerberos,155.466323
zeek.loaded_scripts,17.875
zeek.ntlm,136.812785
zeek.ntp,190.762368
zeek.ocsp,204.476934
zeek.packet_filter,25.4
zeek.pe,143.611111
zeek.radius,45.7
zeek.reporter,60.375
zeek.sip,270.419861
zeek.smb_files,256.220037
zeek.smb_mapping,112.175141
zeek.smtp,235.527328
zeek.snmp,100.929078
zeek.ssl,216.225514
zeek.tunnel,96.136585
zeek.weird,109.697025
zeek.x509,511.278638
